date,Net sales
"May 17, 2022",171749.92
"May 18, 2022",270900.08
"May 19, 2022",170882.34
"May 20, 2022",134381.8
"May 21, 2022",140425.52
"May 22, 2022",0
"May 23, 2022",148675.02
"May 24, 2022",247936.51
"May 25, 2022",127139.62
"May 26, 2022",111649.43
"May 27, 2022",163741.35
"May 28, 2022",317683.03
"May 29, 2022",0
"May 30, 2022",151610.95
"May 31, 2022",181369.32
"Jun 1, 2022",193588.17
"Jun 2, 2022",221181.32
"Jun 3, 2022",158578.9
"Jun 4, 2022",284285.8
"Jun 5, 2022",0
"Jun 6, 2022",110315.13
"Jun 7, 2022",221687.16
"Jun 8, 2022",193129.18
"Jun 9, 2022",125863.47
"Jun 10, 2022",161339.53
"Jun 11, 2022",154265.03
"Jun 12, 2022",0
"Jun 13, 2022",296935.18
"Jun 14, 2022",200765.98
"Jun 15, 2022",71127.09
"Jun 16, 2022",147936.51
